"StichtagDatJahr","KreisSort","KreisCd","KreisLang","SteuerTarifSort","SteuerTarifCd","SteuerTarifLang","SteuerEinkommen_p50","SteuerEinkommen_p25","SteuerEinkommen_p75"
2005,8,"8","Kreis 8",0,"00","Grundtarif",46.3,21.3,72.6
2005,8,"8","Kreis 8",1,"01","Verheiratetentarif",92.1,59.3,141.5
2005,8,"8","Kreis 8",2,"02","Einelternfamilientarif",50.7,31,78.8
2005,9,"9","Kreis 9",0,"00","Grundtarif",36.1,19,54.1
2005,9,"9","Kreis 9",1,"01","Verheiratetentarif",62.8,45,85.8
2005,9,"9","Kreis 9",2,"02","Einelternfamilientarif",36.2,20,53.3
2005,10,"10","Kreis 10",0,"00","Grundtarif",42.4,21.1,63.4
2005,10,"10","Kreis 10",1,"01","Verheiratetentarif",75.6,52.9,112.7
2005,10,"10","Kreis 10",2,"02","Einelternfamilientarif",43.4,26.2,63.2
2005,11,"11","Kreis 11",0,"00","Grundtarif",36.3,18.4,55.3
2005,11,"11","Kreis 11",1,"01","Verheiratetentarif",64.6,44.5,89
2005,11,"11","Kreis 11",2,"02","Einelternfamilientarif",35.5,17.3,52.3
2005,12,"12","Kreis 12",0,"00","Grundtarif",30,15.1,45
2005,12,"12","Kreis 12",1,"01","Verheiratetentarif",56.7,39.4,75
2005,12,"12","Kreis 12",2,"02","Einelternfamilientarif",31.1,13.5,45.9
2006,1,"1","Kreis 1",0,"00","Grundtarif",44.4,18,77.8
2006,1,"1","Kreis 1",1,"01","Verheiratetentarif",103.7,61.9,166.1
2006,1,"1","Kreis 1",2,"02","Einelternfamilientarif",48.25,24.3,99.35
2006,2,"2","Kreis 2",0,"00","Grundtarif",41.7,20.4,65.7
2006,2,"2","Kreis 2",1,"01","Verheiratetentarif",76.7,52.7,119.3
2006,2,"2","Kreis 2",2,"02","Einelternfamilientarif",40.4,22.8,66.5
2006,3,"3","Kreis 3",0,"00","Grundtarif",38.1,19.1,58.6
2006,3,"3","Kreis 3",1,"01","Verheiratetentarif",59.9,39,86.3
2006,3,"3","Kreis 3",2,"02","Einelternfamilientarif",35.3,18.1,52.3
2006,4,"4","Kreis 4",0,"00","Grundtarif",33.6,16,53.5
2006,4,"4","Kreis 4",1,"01","Verheiratetentarif",50.4,31.65,71.45
2006,4,"4","Kreis 4",2,"02","Einelternfamilientarif",30,12.4,48.4
2006,5,"5","Kreis 5",0,"00","Grundtarif",41.15,20.1,63.8
2006,5,"5","Kreis 5",1,"01","Verheiratetentarif",58.4,39.1,82.9
2006,5,"5","Kreis 5",2,"02","Einelternfamilientarif",36.2,19.55,55.15
2006,6,"6","Kreis 6",0,"00","Grundtarif",43.5,21.7,68.9
2006,6,"6","Kreis 6",1,"01","Verheiratetentarif",82.2,54.2,128.4
2006,6,"6","Kreis 6",2,"02","Einelternfamilientarif",41.5,24.8,67.2
