"StichtagDatJahr","StichtagDatMonat","RaumeinheitSort","RaumeinheitLang","GliederungSort","GliederungLang","ZimmerSort","ZimmerLang","GemeinnuetzigSort","GemeinnuetzigLang","EinheitSort","EinheitLang","PreisartSort","PreisartLang","mean","meanl","meanu","qu10","qu10l","qu10u","qu25","qu25l","qu25u","qu50","qu50l","qu50u","qu75","qu75l","qu75u","qu90","qu90l","qu90u","Domain","Sample1","Sample2"
2022,"2022.04",1,"Ganze Stadt",3,"Bestand Mietverträge 2–10 Jahre",4,"4 Zimmer",2,"Nicht gemeinnützig",1,"Wohnung",1,"Netto",2480,2429,2531,1580,1469,1651,1900,1850,1950,2310,2271,2373,2870,2750,2942,3560,3397,3653,10940,1893,432
2024,"2024.04",1,"Ganze Stadt",3,"Bestand Mietverträge 2–10 Jahre",4,"4 Zimmer",2,"Nicht gemeinnützig",1,"Wohnung",1,"Netto",2646,2607,2686,1685,1618,1732,2068,2003,2112,2517,2453,2579,3123,3051,3200,3735,3625,3800,11081,2088,653
2022,"2022.04",1,"Ganze Stadt",4,"Bestand Mietverträge 11-20 Jahre",2,"2 Zimmer",1,"Gemeinnützig",1,"Wohnung",1,"Netto",864,850,877,591,584,619,681,674,696,828,807,848,985,959,1018,1152,1114,1182,2294,1550,107
2024,"2024.04",1,"Ganze Stadt",4,"Bestand Mietverträge 11-20 Jahre",2,"2 Zimmer",1,"Gemeinnützig",1,"Wohnung",1,"Netto",942,921,963,641,621,666,757,737,776,910,890,925,1086,1058,1108,1310,1259,1381,2381,1626,89
2022,"2022.04",1,"Ganze Stadt",4,"Bestand Mietverträge 11-20 Jahre",3,"3 Zimmer",1,"Gemeinnützig",1,"Wohnung",1,"Netto",1001,986,1016,660,644,677,765,747,785,942,916,971,1172,1148,1200,1393,1350,1431,4946,3236,152
2024,"2024.04",1,"Ganze Stadt",4,"Bestand Mietverträge 11-20 Jahre",3,"3 Zimmer",1,"Gemeinnützig",1,"Wohnung",1,"Netto",1084,1072,1097,733,719,748,856,845,880,1027,1013,1057,1282,1267,1303,1464,1438,1490,5073,3394,132
2022,"2022.04",1,"Ganze Stadt",4,"Bestand Mietverträge 11-20 Jahre",4,"4 Zimmer",1,"Gemeinnützig",1,"Wohnung",1,"Netto",1321,1306,1335,860,848,899,1073,1045,1105,1302,1285,1323,1529,1511,1551,1758,1716,1787,3935,2596,145
2024,"2024.04",1,"Ganze Stadt",4,"Bestand Mietverträge 11-20 Jahre",4,"4 Zimmer",1,"Gemeinnützig",1,"Wohnung",1,"Netto",1446,1426,1466,946,931,992,1164,1137,1191,1427,1402,1448,1662,1635,1693,1886,1839,1949,4218,2837,154
2022,"2022.04",1,"Ganze Stadt",4,"Bestand Mietverträge 11-20 Jahre",2,"2 Zimmer",2,"Nicht gemeinnützig",1,"Wohnung",1,"Netto",1318,1250,1387,928,874,980,1096,1050,1149,1221,1195,1268,1418,1348,1511,1852,1679,1989,4488,793,142
2024,"2024.04",1,"Ganze Stadt",4,"Bestand Mietverträge 11-20 Jahre",2,"2 Zimmer",2,"Nicht gemeinnützig",1,"Wohnung",1,"Netto",1372,1340,1403,937,905,1011,1130,1088,1186,1325,1279,1369,1543,1484,1600,1820,1749,1887,4342,887,207
2022,"2022.04",1,"Ganze Stadt",4,"Bestand Mietverträge 11-20 Jahre",3,"3 Zimmer",2,"Nicht gemeinnützig",1,"Wohnung",1,"Netto",1571,1528,1614,1082,1025,1157,1270,1236,1328,1463,1418,1525,1781,1729,1840,2089,2002,2200,7756,1401,194
2024,"2024.04",1,"Ganze Stadt",4,"Bestand Mietverträge 11-20 Jahre",3,"3 Zimmer",2,"Nicht gemeinnützig",1,"Wohnung",1,"Netto",1715,1673,1757,1123,1053,1240,1340,1315,1415,1601,1562,1652,1960,1883,2005,2360,2243,2614,7525,1396,266
2022,"2022.04",1,"Ganze Stadt",4,"Bestand Mietverträge 11-20 Jahre",4,"4 Zimmer",2,"Nicht gemeinnützig",1,"Wohnung",1,"Netto",2068,2010,2126,1420,1318,1500,1610,1556,1693,1961,1884,2044,2280,2205,2470,2819,2694,3042,4670,894,182
2024,"2024.04",1,"Ganze Stadt",4,"Bestand Mietverträge 11-20 Jahre",4,"4 Zimmer",2,"Nicht gemeinnützig",1,"Wohnung",1,"Netto",2162,2112,2212,1454,1399,1514,1660,1614,1698,2049,1956,2161,2527,2435,2572,3057,2916,3215,4719,943,249
2022,"2022.04",1,"Ganze Stadt",5,"Bestand Mietverträge über 20 Jahre",2,"2 Zimmer",1,"Gemeinnützig",1,"Wohnung",1,"Netto",816,799,833,571,550,594,652,638,677,786,779,806,935,915,969,1064,1063,1098,1574,1021,52
2024,"2024.04",1,"Ganze Stadt",5,"Bestand Mietverträge über 20 Jahre",2,"2 Zimmer",1,"Gemeinnützig",1,"Wohnung",1,"Netto",869,848,890,622,608,644,717,709,732,846,825,869,984,950,1030,1141,1109,1189,1595,1067,60
2022,"2022.04",1,"Ganze Stadt",5,"Bestand Mietverträge über 20 Jahre",3,"3 Zimmer",1,"Gemeinnützig",1,"Wohnung",1,"Netto",906,892,919,643,638,652,745,733,760,893,884,910,1027,1010,1051,1196,1161,1211,4577,2890,97
2024,"2024.04",1,"Ganze Stadt",5,"Bestand Mietverträge über 20 Jahre",3,"3 Zimmer",1,"Gemeinnützig",1,"Wohnung",1,"Netto",970,956,985,714,698,728,812,798,819,955,941,976,1104,1070,1124,1261,1229,1278,4410,2864,117
2022,"2022.04",1,"Ganze Stadt",5,"Bestand Mietverträge über 20 Jahre",4,"4 Zimmer",1,"Gemeinnützig",1,"Wohnung",1,"Netto",1141,1124,1158,804,780,824,919,893,960,1120,1100,1136,1295,1267,1336,1506,1454,1557,2849,1700,155
2024,"2024.04",1,"Ganze Stadt",5,"Bestand Mietverträge über 20 Jahre",4,"4 Zimmer",1,"Gemeinnützig",1,"Wohnung",1,"Netto",1240,1214,1266,852,827,886,998,977,1042,1205,1186,1221,1419,1398,1450,1640,1569,1695,2807,1740,128
